"","x"
"848","Michael Strianese"
"849","Michael Weil"
"850","Mickey Arison"
"851","Mike"
"852","Mike Corbat"
"853","Mike Duke"
"854","Mike Hopkins"
"855","Mike Jackson"
"856","Mike Jefferies"
"857","Mike Jeffries"
"858","Mike Lynch"
"859","Mike Needham"
"860","Mike Nudelman"
"861","Mike Pearson"
"862","Mike Perlis"
"863","Mike Sneesby"
"864","Mike Ullman"
"865","Mike Ullmana"
"866","Mike Ullmans"
"867","Mike West"
"868","Mikhail Khodorkovsky"
"869","Mile Ullman"
"870","Mitchell Krebs"
"871","Mitchell Modell"
"872","Mohamed El"
"873","Mohamed El-Erian"
"874","Mohammed el-Ansary"
"875","Monty Moran"
"876","Moodys Investors"
"877","Moonves"
"878","Moran"
"879","Mordashov"
"880","Mori"
"881","Mr John"
"882","Mricael Corbat"
"883","Muhtar  Kent"
"884","Muhtar Kent"
"885","Mulally"
"886","Murphy"
"887","Mykolas Rambus"
"888","Myron Mike"
"889","Myron Ullman"
"890","Nadal"
"891","Nassef Sawiris"
"892","Nathan Hubbard"
"893","Nazarian"
"894","Neil Austrian"
"895","Neil Black"
"896","Neil Smit"
"897","Neither Gobi"
"898","Nelms"
"899","Nelson Navarette"
"900","Nelson Peltz"
"901","Net Worth"
"902","Neuberger Berman"
"903","New York"
"904","Niall Wass"
"905","Niblock"
"906","Nicholas Kisberg"
"907","Nicholas Woodman"
"908","Nick  Woodman"
"909","Nick Black"
"910","Nick Graham"
"911","Nick Hayek"
"912","Nick Raich"
"913","Nick Taranto"
"914","Nick Woodman"
"915","NickÂ Woodman"
"916","Nigel Travis"
"917","Niraj Shah"
"918","Noah Breslow"
"919","Noam Bardin"
"920","Noel Biderman"
"921","Norbert Reithofer"
"922","Norman Chan"
"923","Och"
"924","Oeyvind Eriksen"
"925","Of Overstockcom"
"926","Olsson"
"927","Omar Ishrak"
"928","Omar Khan"
"929","Ophir Gottlieb"
"930","Oracle Corporation"
"931","Oringer"
"932","Outlook For"
"933","Owen Kerr"
"934","Paal Kibsgaard"
"935","Page"
"936","Paolo Zaniboni"
"937","Parker"
"938","Pascal Soriot"
"939","Pat Gelsinger"
"940","Patrick Byrne"
"941","Patrick Doyle"
"942","Patrick Morris"
"943","Patrizio Di"
"944","Patrizio Di Marco"
"945","Patterson"
"946","Patti Hart"
"947","Patti Harts"
"948","Paul Bernstein"
"949","Paul Browning"
"950","Paul Deneve"
"951","Paul Galant"
"952","Paul Itellini"
"953","Paul Jacobs"
"954","Paul Maritz"
"955","Paul Martiz"
"956","Paul Otellini"
"957","Paul OtelliniIntel"
"958","Paul Palmieri"
"959","Paul Raines"
"960","Paul Rosen"
"961","Paul Ross"
"962","Paul T. Idzik"
"963","Paul Varga"
"964","Paul Whetsell"
"965","Paul Wright"
"966","Paula Schneider"
"967","Pay Packages"
"968","Penny Pritzker"
