"","finalPercentages"
"4222","Fifty-eight percent"
"4223","Fifty-five percent"
"4224","Fifty-seven percent"
"4225","Fifty-three percent"
"4226","Fiftyeight"
"4227","Fiftyfive"
"4228","Fiftyfour"
"4229","Fiftynine"
"4230","Fiftyseven"
"4231","Fiftysix"
"4232","Fiftythree"
"4233","Fiftytwo"
"4234","five percent"
"4235","Forty"
"4236","Forty percent"
"4237","Forty-two percent"
"4238","Fortyfive"
"4239","Fortynine"
"4240","Fortyone"
"4241","Fortysix"
"4242","Fortythree"
"4243","Fortytwo"
"4244","four percent"
"4245","full percent"
"4246","greater percent"
"4247","half a percent"
"4248","half percent"
"4249","half percentage"
"4250","high percent"
"4251","higher percent"
"4252","highest percent"
"4253","Household"
"4254","However"
"4255","Hundred"
"4256","large percent"
"4257","larger percent"
"4258","largest percent"
"4259","lowest percent"
"4260","nine percent"
"4261","Nineteen"
"4262","Nineteen percent"
"4263","Ninety"
"4264","Ninety percent"
"4265","Ninety-seven percent"
"4266","Ninetyeight"
"4267","Ninetyfive"
"4268","Ninetyone"
"4269","Ninetyseven"
"4270","Ninetysix"
"4271","Ninetythree"
"4272","Ninetytwo"
"4273","one percent"
"4274","one percentage point"
"4275","One-hundred percent"
"4276","Onehundred"
"4277","Seven"
"4278","seven percent"
"4279","Seventeen"
"4280","Seventeen percent"
"4281","Seventy"
"4282","Seventy-five percent"
"4283","Seventy-nine percent"
"4284","Seventy-six percent"
"4285","seventy-three percent"
"4286","Seventyeight"
"4287","Seventyfive"
"4288","Seventynine"
"4289","Seventysix"
"4290","Seventytwo"
"4291","several percent"
"4292","six percent"
"4293","Sixteen"
"4294","Sixty"
"4295","Sixty percent"
"4296","Sixty-four percent"
"4297","Sixty-one percent"
"4298","Sixty-seven percent"
"4299","Sixty-three percent"
"4300","Sixtyeight"
"4301","Sixtyfive"
"4302","Sixtyfour"
"4303","Sixtynine"
"4304","Sixtyone"
"4305","Sixtyseven"
"4306","Sixtysix"
"4307","Sixtythree"
"4308","Sixtytwo"
"4309","small percent"
"4310","Smaller"
"4311","smaller percent"
"4312","ten percent"
"4313","These"
"4314","Thirteen"
"4315","Thirty-eight percent"
"4316","thirty-nine percent"
"4317","Thirty-nine percent"
"4318","Thirty-three percent"
"4319","Thirtyeight"
"4320","Thirtyfive"
"4321","Thirtyfour"
"4322","Thirtynine"
"4323","Thirtyseven"
"4324","Thirtysix"
"4325","Thirtythree"
"4326","Thirtytwo"
"4327","Three"
"4328","three percent"
"4329","three-quarters of a percentage point"
"4330","three-tenths of a percentage point"
"4331","Twelve"
"4332","Twenty"
"4333","twenty-five percent"
"4334","Twenty-four percent"
"4335","twenty-one percent"
"4336","twenty-two percent"
"4337","Twentyeight"
"4338","Twentyfive"
"4339","Twentyfour"
"4340","Twentyone"
"4341","Twentyseven"
"4342","Twentythree"
"4343","two percent"
"4344","Two percent"
"4345","two percentage"
"4346","two-percent"
"4347","two-tenths of a percentage point"
"4348","zero percent"
"4349","zero%"
